iter	Passed	Remaining
0	81	32687
1	168	33596
2	257	34050
3	350	34704
4	437	34571
5	538	35355
6	642	36048
7	738	36168
8	834	36242
9	932	36351
10	1045	36976
11	1155	37355
12	1247	37122
13	1346	37116
14	1450	37226
15	1550	37211
16	1658	37355
17	1769	37558
18	1880	37702
19	1981	37639
20	2086	37662
21	2182	37491
22	2281	37399
23	2380	37288
24	2474	37112
25	2574	37028
26	2671	36903
27	2771	36818
28	2870	36724
29	2966	36590
30	3071	36562
31	3200	36810
32	3307	36783
33	3421	36833
34	3540	36918
35	3648	36886
36	3752	36818
37	3853	36707
38	3950	36566
39	4048	36439
40	4146	36307
41	4257	36291
42	4353	36148
43	4446	35976
44	4542	35832
45	4639	35706
46	4768	35816
47	4862	35660
48	4960	35533
49	5057	35402
50	5151	35249
51	5247	35118
52	5343	34986
53	5438	34849
54	5535	34724
55	5632	34596
56	5731	34488
57	5838	34425
58	5944	34354
59	6038	34216
60	6149	34176
61	6247	34057
62	6349	33966
63	6444	33834
64	6542	33717
65	6637	33589
66	6734	33472
67	6829	33345
68	6925	33221
69	7019	33092
70	7117	32981
71	7211	32850
72	7307	32732
73	7415	32668
74	7513	32558
75	7610	32445
76	7707	32330
77	7804	32219
78	7902	32111
79	8001	32005
80	8095	31882
81	8189	31759
82	8284	31642
83	8380	31525
84	8479	31424
85	8584	31345
86	8683	31241
87	8781	31135
88	8881	31037
89	8985	30949
90	9082	30840
91	9181	30737
92	9281	30639
93	9383	30544
94	9479	30435
95	9581	30342
96	9695	30284
97	9799	30199
98	9907	30121
99	10032	30096
100	10138	30013
101	10242	29923
102	10340	29816
103	10441	29717
104	10540	29614
105	10642	29519
106	10743	29417
107	10840	29310
108	10929	29179
109	11021	29056
110	11118	28949
111	11223	28860
112	11318	28747
113	11414	28635
114	11508	28522
115	11602	28406
116	11699	28299
117	11790	28176
118	11892	28083
119	11987	27970
120	12080	27855
121	12174	27741
122	12270	27633
123	12363	27519
124	12461	27416
125	12556	27305
126	12649	27191
127	12741	27076
128	12829	26952
129	12924	26843
130	13014	26724
131	13107	26611
132	13205	26509
133	13296	26394
134	13390	26285
135	13483	26174
136	13581	26071
137	13675	25962
138	13769	25855
139	13862	25744
140	13908	25549
141	14001	25439
142	14093	25328
143	14185	25218
144	14276	25106
145	14394	25041
146	14501	24958
147	14597	24854
148	14691	24748
149	14787	24646
150	14881	24539
151	14976	24435
152	15074	24335
153	15167	24228
154	15260	24121
155	15358	24021
156	15452	23917
157	15547	23813
158	15644	23712
159	15733	23600
160	15826	23493
161	15920	23389
162	16011	23281
163	16102	23172
164	16195	23065
165	16290	22964
166	16383	22858
167	16478	22755
168	16573	22653
169	16669	22552
170	16760	22445
171	16851	22338
172	16947	22236
173	17038	22130
174	17132	22027
175	17226	21924
176	17321	21822
177	17414	21718
178	17511	21620
179	17604	21516
180	17697	21412
181	17786	21304
182	17877	21199
183	17968	21093
184	18060	20989
185	18158	20891
186	18250	20787
187	18340	20681
188	18433	20578
189	18527	20477
190	18615	20369
191	18709	20268
192	18806	20170
193	18895	20064
194	18986	19960
195	19078	19856
196	19169	19753
197	19264	19654
198	19360	19554
199	19456	19456
200	19550	19355
201	19645	19256
202	19740	19157
203	19833	19055
204	19921	18949
205	20011	18846
206	20107	18747
207	20199	18645
208	20290	18543
209	20382	18441
210	20477	18342
211	20568	18240
212	20663	18140
213	20754	18038
214	20848	17939
215	20942	17839
216	21037	17741
217	21135	17645
218	21227	17544
219	21318	17442
220	21412	17342
221	21502	17240
222	21594	17139
223	21686	17039
224	21777	16937
225	21867	16836
226	21960	16736
227	22053	16637
228	22146	16537
229	22238	16437
230	22335	16340
231	22427	16240
232	22525	16145
233	22618	16045
234	22713	15947
235	22805	15847
236	22897	15747
237	22987	15646
238	23076	15545
239	23166	15444
240	23263	15347
241	23357	15250
242	23454	15153
243	23549	15055
244	23644	14958
245	23734	14857
246	23836	14765
247	23929	14666
248	24024	14568
249	24114	14468
250	24208	14370
251	24299	14271
252	24392	14172
253	24489	14076
254	24585	13980
255	24685	13885
256	24793	13795
257	24889	13698
258	24978	13598
259	25071	13500
260	25164	13401
261	25257	13303
262	25351	13206
263	25446	13108
264	25538	13010
265	25640	12916
266	25759	12831
267	25863	12738
268	25965	12644
269	26065	12550
270	26168	12456
271	26278	12366
272	26376	12270
273	26466	12170
274	26570	12077
275	26684	11988
276	26791	11896
277	26892	11801
278	27003	11711
279	27103	11615
280	27198	11518
281	27297	11422
282	27388	11323
283	27485	11226
284	27576	11127
285	27670	11029
286	27762	10930
287	27854	10832
288	27947	10734
289	28045	10638
290	28137	10539
291	28231	10441
292	28342	10350
293	28437	10252
294	28526	10153
295	28613	10053
296	28702	9954
297	28797	9856
298	28889	9758
299	28982	9660
300	29074	9562
301	29176	9467
302	29275	9371
303	29373	9275
304	29467	9178
305	29556	9079
306	29649	8981
307	29772	8893
308	29884	8801
309	29975	8702
310	30064	8603
311	30162	8507
312	30258	8410
313	30350	8312
314	30442	8214
315	30540	8118
316	30632	8020
317	30720	7921
318	30813	7824
319	30908	7727
320	30999	7629
321	31096	7532
322	31187	7434
323	31276	7336
324	31364	7237
325	31452	7139
326	31542	7041
327	31634	6944
328	31727	6847
