iter	Passed	Remaining
0	75	30274
1	160	31992
2	246	32617
3	330	32759
4	413	32666
5	499	32805
6	598	33576
7	711	34887
8	814	35378
9	925	36097
10	1016	35949
11	1104	35712
12	1184	35272
13	1272	35098
14	1377	35357
15	1471	35315
16	1560	35152
17	1646	34937
18	1730	34709
19	1821	34616
20	1916	34586
21	2013	34602
22	2105	34508
23	2197	34432
24	2290	34360
25	2381	34252
26	2473	34164
27	2588	34388
28	2676	34235
29	2767	34127
30	2862	34071
31	2968	34133
32	3066	34098
33	3162	34048
34	3260	33997
35	3344	33818
36	3447	33824
37	3537	33702
38	3638	33682
39	3745	33711
40	3851	33728
41	3976	33898
42	4088	33946
43	4198	33972
44	4300	33923
45	4408	33924
46	4514	33904
47	4605	33776
48	4705	33708
49	4818	33729
50	4915	33636
51	5015	33564
52	5116	33497
53	5222	33464
54	5321	33380
55	5423	33312
56	5530	33279
57	5636	33236
58	5749	33230
59	5848	33138
60	5952	33077
61	6053	32999
62	6155	32926
63	6255	32841
64	6354	32752
65	6457	32679
66	6556	32589
67	6656	32498
68	6756	32411
69	6860	32344
70	6961	32257
71	7062	32173
72	7162	32086
73	7267	32016
74	7369	31936
75	7473	31860
76	7568	31749
77	7674	31683
78	7799	31692
79	7910	31643
80	8013	31557
81	8117	31479
82	8225	31417
83	8316	31287
84	8406	31153
85	8501	31040
86	8591	30910
87	8684	30789
88	8774	30661
89	8867	30543
90	8957	30414
91	9045	30283
92	9136	30160
93	9225	30031
94	9313	29902
95	9403	29776
96	9501	29681
97	9594	29566
98	9689	29460
99	9780	29341
100	9874	29232
101	9971	29132
102	10063	29017
103	10158	28913
104	10250	28800
105	10347	28698
106	10443	28597
107	10542	28503
108	10636	28397
109	10729	28286
110	10821	28175
111	10918	28076
112	11012	27969
113	11111	27876
114	11209	27779
115	11305	27678
116	11400	27575
117	11497	27477
118	11587	27362
119	11686	27269
120	11780	27163
121	11872	27054
122	11971	26960
123	12062	26849
124	12189	26817
125	12280	26706
126	12370	26592
127	12462	26483
128	12551	26367
129	12641	26255
130	12730	26141
